state,candidate,percent_chance,date,url
illinois,Klobuchar,0.5,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/illinois
illinois,Bloomberg,0.3,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/illinois
illinois,Steyer,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/illinois
illinois,Yang,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/illinois
illinois,Patrick,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/illinois
illinois,Gabbard,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/illinois
illinois,Bennet,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/illinois
illinois,Delaney,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/illinois
indiana,Biden,43,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/indiana
indiana,Sanders,22,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/indiana
indiana,Buttigieg,20,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/indiana
indiana,Warren,11,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/indiana
indiana,Klobuchar,0.7,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/indiana
indiana,Bloomberg,0.7,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/indiana
indiana,Steyer,0.4,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/indiana
indiana,Yang,0.4,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/indiana
indiana,Gabbard,0.3,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/indiana
indiana,Bennet,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/indiana
indiana,Delaney,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/indiana
indiana,Patrick,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/indiana
iowa,Biden,35,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/iowa
iowa,Sanders,23,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/iowa
iowa,Buttigieg,22,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/iowa
iowa,Warren,17,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/iowa
iowa,Klobuchar,2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/iowa
iowa,Steyer,0.3,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/iowa
iowa,Yang,0.3,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/iowa
iowa,Bloomberg,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/iowa
iowa,Patrick,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/iowa
iowa,Delaney,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/iowa
iowa,Gabbard,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/iowa
iowa,Bennet,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/iowa
kansas,Biden,46,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kansas
kansas,Sanders,23,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kansas
kansas,Warren,15,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kansas
kansas,Buttigieg,12,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kansas
kansas,Bloomberg,0.9,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kansas
kansas,Klobuchar,0.8,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kansas
kansas,Yang,0.4,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kansas
kansas,Steyer,0.4,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kansas
kansas,Gabbard,0.3,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kansas
kansas,Patrick,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kansas
kansas,Bennet,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kansas
kansas,Delaney,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kansas
kentucky,Biden,49,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kentucky
kentucky,Sanders,22,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kentucky
kentucky,Warren,14,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kentucky
kentucky,Buttigieg,12,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kentucky
kentucky,Bloomberg,1.0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kentucky
kentucky,Klobuchar,0.8,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kentucky
kentucky,Steyer,0.7,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kentucky
kentucky,Yang,0.4,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kentucky
kentucky,Gabbard,0.3,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kentucky
kentucky,Bennet,0.3,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kentucky
kentucky,Delaney,0.3,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kentucky
kentucky,Patrick,0.3,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/kentucky
louisiana,Biden,56,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/louisiana
louisiana,Sanders,19,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/louisiana
louisiana,Warren,13,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/louisiana
louisiana,Buttigieg,9,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/louisiana
louisiana,Bloomberg,0.8,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/louisiana
louisiana,Klobuchar,0.6,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/louisiana
louisiana,Steyer,0.3,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/louisiana
louisiana,Yang,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/louisiana
louisiana,Gabbard,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/louisiana
louisiana,Bennet,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/louisiana
louisiana,Delaney,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/louisiana
louisiana,Patrick,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/louisiana
